game_id,game_date
0022100001,2021-10-19
0022100002,2021-10-19
0022100003,2021-10-20
0022100004,2021-10-20
0022100005,2021-10-20
0022100006,2021-10-20
0022100007,2021-10-20
0022100008,2021-10-20
0022100009,2021-10-20
0022100010,2021-10-20
0022100011,2021-10-20
0022100012,2021-10-20
0022100013,2021-10-20
0022100014,2021-10-21
0022100015,2021-10-21
0022100016,2021-10-21
0022100017,2021-10-22
0022100018,2021-10-22
0022100019,2021-10-22
0022100020,2021-10-22
0022100021,2021-10-22
0022100022,2021-10-22
0022100023,2021-10-22
0022100024,2021-10-22
0022100025,2021-10-22
0022100026,2021-10-22
0022100027,2021-10-23
0022100028,2021-10-23
0022100029,2021-10-23
0022100030,2021-10-23
0022100031,2021-10-23
0022100032,2021-10-23
0022100033,2021-10-23
0022100034,2021-10-23
0022100035,2021-10-24
0022100036,2021-10-24
0022100037,2021-10-24
0022100038,2021-10-24
0022100039,2021-10-24
0022100040,2021-10-24
0022100041,2021-10-25
0022100042,2021-10-25
0022100043,2021-10-25
0022100044,2021-10-25
0022100045,2021-10-25
0022100046,2021-10-25
0022100047,2021-10-25
0022100048,2021-10-25
0022100049,2021-10-25
0022100050,2021-10-26
0022100051,2021-10-26
0022100052,2021-10-26
0022100053,2021-10-26
0022100054,2021-10-26
0022100055,2021-10-27
0022100056,2021-10-27
0022100057,2021-10-27
0022100058,2021-10-27
0022100059,2021-10-27
0022100060,2021-10-27
0022100061,2021-10-27
0022100062,2021-10-27
0022100063,2021-10-27
0022100064,2021-10-27
0022100065,2021-10-28
0022100066,2021-10-28
0022100067,2021-10-28
0022100068,2021-10-28
0022100069,2021-10-28
0022100070,2021-10-28
0022100071,2021-10-29
0022100072,2021-10-29
0022100073,2021-10-29
0022100074,2021-10-29
0022100075,2021-10-29
0022100076,2021-10-29
0022100077,2021-10-29
0022100078,2021-10-30
0022100079,2021-10-30
0022100080,2021-10-30
0022100081,2021-10-30
0022100082,2021-10-30
0022100083,2021-10-30
0022100084,2021-10-30
0022100085,2021-10-30
0022100086,2021-10-30
0022100087,2021-10-30
0022100088,2021-10-30
0022100089,2021-10-31
0022100090,2021-10-31
0022100091,2021-10-31
0022100092,2021-10-31
0022100093,2021-10-31
0022100094,2021-11-01
0022100095,2021-11-01
0022100096,2021-11-01
0022100097,2021-11-01
0022100098,2021-11-01
0022100099,2021-11-01
0022100100,2021-11-01
0022100101,2021-11-01
0022100102,2021-11-01
0022100103,2021-11-02
0022100104,2021-11-02
0022100105,2021-11-02
0022100106,2021-11-02
0022100107,2021-11-02
0022100108,2021-11-03
0022100109,2021-11-03
0022100110,2021-11-03
0022100111,2021-11-03
0022100112,2021-11-03
0022100113,2021-11-03
0022100114,2021-11-03
0022100115,2021-11-03
0022100116,2021-11-03
0022100117,2021-11-03
0022100118,2021-11-03
0022100119,2021-11-04
0022100120,2021-11-04
0022100121,2021-11-04
0022100122,2021-11-04
0022100123,2021-11-04
0022100124,2021-11-05
0022100125,2021-11-05
0022100126,2021-11-05
0022100127,2021-11-05
0022100128,2021-11-05
0022100129,2021-11-05
0022100130,2021-11-05
0022100131,2021-11-05
0022100132,2021-11-05
0022100133,2021-11-06
0022100134,2021-11-06
0022100135,2021-11-06
0022100136,2021-11-06
0022100137,2021-11-06
0022100138,2021-11-06
0022100139,2021-11-07
0022100140,2021-11-07
0022100141,2021-11-07
0022100142,2021-11-07
0022100143,2021-11-07
0022100144,2021-11-07
0022100145,2021-11-07
0022100146,2021-11-07
0022100147,2021-11-08
0022100148,2021-11-08
0022100149,2021-11-08
0022100150,2021-11-08
0022100151,2021-11-08
0022100152,2021-11-08
0022100153,2021-11-08
0022100154,2021-11-08
0022100155,2021-11-09
0022100156,2021-11-09
0022100157,2021-11-09
0022100158,2021-11-10
0022100159,2021-11-10
0022100160,2021-11-10
0022100161,2021-11-10
0022100162,2021-11-10
0022100163,2021-11-10
0022100164,2021-11-10
0022100165,2021-11-10
0022100166,2021-11-10
0022100167,2021-11-10
0022100168,2021-11-10
0022100169,2021-11-10
0022100170,2021-11-10
0022100171,2021-11-11
0022100172,2021-11-11
0022100173,2021-11-11
0022100174,2021-11-12
0022100175,2021-11-12
0022100176,2021-11-12
0022100177,2021-11-12
0022100178,2021-11-12
0022100179,2021-11-12
0022100180,2021-11-12
0022100181,2021-11-12
0022100182,2021-11-12
0022100183,2021-11-12
0022100184,2021-11-12
0022100185,2021-11-13
0022100186,2021-11-13
0022100187,2021-11-13
0022100188,2021-11-13
0022100189,2021-11-13
0022100190,2021-11-13
0022100191,2021-11-13
0022100192,2021-11-14
0022100193,2021-11-14
0022100194,2021-11-14
0022100195,2021-11-14
0022100196,2021-11-14
0022100197,2021-11-14
0022100198,2021-11-14
0022100199,2021-11-15
0022100200,2021-11-15
0022100201,2021-11-15
0022100202,2021-11-15
0022100203,2021-11-15
0022100204,2021-11-15
0022100205,2021-11-15
0022100206,2021-11-15
0022100207,2021-11-15
0022100208,2021-11-15
0022100209,2021-11-15
0022100210,2021-11-16
0022100211,2021-11-16
0022100212,2021-11-16
0022100213,2021-11-17
0022100214,2021-11-17
0022100215,2021-11-17
0022100216,2021-11-17
0022100217,2021-11-17
0022100218,2021-11-17
0022100219,2021-11-17
0022100220,2021-11-17
0022100221,2021-11-17
0022100222,2021-11-17
0022100223,2021-11-17
0022100224,2021-11-18
0022100225,2021-11-18
0022100226,2021-11-18
0022100227,2021-11-18
0022100228,2021-11-18
0022100229,2021-11-18
0022100230,2021-11-19
0022100231,2021-11-19
0022100232,2021-11-19
0022100233,2021-11-19
0022100234,2021-11-19
0022100235,2021-11-19
0022100236,2021-11-19
0022100237,2021-11-19
0022100238,2021-11-19
0022100239,2021-11-20
0022100240,2021-11-20
0022100241,2021-11-20
0022100242,2021-11-20
0022100243,2021-11-20
0022100244,2021-11-20
0022100245,2021-11-20
0022100246,2021-11-20
0022100247,2021-11-20
0022100248,2021-11-21
0022100249,2021-11-21
0022100250,2021-11-21
0022100251,2021-11-21
0022100252,2021-11-21
0022100253,2021-11-22
0022100254,2021-11-22
0022100255,2021-11-22
0022100256,2021-11-22
0022100257,2021-11-22
0022100258,2021-11-22
0022100259,2021-11-22
0022100260,2021-11-22
0022100261,2021-11-22
0022100262,2021-11-22
