game_date,game_id,home_team_tricode,away_team_tricode,matchup
2026-01-20,0022500618,GSW,TOR,TOR @ GSW
2026-01-20,0022500617,DEN,LAL,LAL @ DEN
2026-01-20,0022500619,SAC,MIA,MIA @ SAC
2026-01-19,0022500612,GSW,MIA,MIA @ GSW
2026-01-18,0022500606,SAC,POR,POR @ SAC
2026-01-18,0022500607,LAL,TOR,TOR @ LAL
2026-01-17,0022500600,DEN,WAS,WAS @ DEN
2026-01-17,0022500601,POR,LAL,LAL @ POR
2026-01-16,0022500592,SAC,WAS,WAS @ SAC
2026-01-15,0022500584,GSW,NYK,NYK @ GSW
2026-01-15,0022500586,LAL,CHA,CHA @ LAL
2026-01-15,0022500580,MIA,BOS,BOS @ MIA
2026-01-15,0022500579,DET,PHX,PHX @ DET
2026-01-15,0022500585,POR,ATL,ATL @ POR
2026-01-15,0022500582,SAS,MIL,MIL @ SAS
2026-01-15,0022500583,DAL,UTA,UTA @ DAL
2026-01-15,0022500581,HOU,OKC,OKC @ HOU
2026-01-14,0022500576,SAC,NYK,NYK @ SAC
2026-01-14,0022500577,LAC,WAS,WAS @ LAC
2026-01-13,0022500569,LAL,ATL,ATL @ LAL
2026-01-13,0022500570,GSW,POR,POR @ GSW
2026-01-12,0022500563,LAC,CHA,CHA @ LAC
2026-01-12,0022500562,SAC,LAL,LAL @ SAC
2026-01-07,0022500526,GSW,MIL,MIL @ GSW
2026-01-07,0022500527,POR,HOU,HOU @ POR
2026-01-06,0022500515,SAC,DAL,DAL @ SAC
2026-01-05,0022500508,LAC,GSW,GSW @ LAC
2026-01-05,0022500509,POR,UTA,UTA @ POR
2026-01-03,0022500492,GSW,UTA,UTA @ GSW
2026-01-03,0022500493,LAC,BOS,BOS @ LAC
2026-01-02,0022500484,GSW,OKC,OKC @ GSW
2026-01-02,0022500485,LAL,MEM,MEM @ LAL
2026-01-01,0022500475,LAC,UTA,UTA @ LAC
2026-01-01,0022500474,SAC,BOS,BOS @ SAC
