,points_avg_last_5,points_avg_last_10,points_avg_season,points_std_last_10,fatigue_score,shot_zone_mismatch_score,pace_score,usage_spike_score,opponent_def_rating_last_15,opponent_pace_last_15,is_home,days_rest,back_to_back,paint_rate_last_10,mid_range_rate_last_10,three_pt_rate_last_10,assisted_rate_last_10,team_pace_last_10,team_off_rating_last_10,actual_points
points_avg_last_5,1.0,0.9665095151291047,0.9030680089710671,0.6598075610777452,-0.03710255042317191,-0.0133240795698908,,,0.018933541524942966,0.003239408978194568,0.0064022998421653645,-0.04444548081463407,0.01649567931072492,-0.019697476858242892,0.3304039419542883,-0.13957116315823576,-0.3459609591574163,0.024817438420664615,0.07477925846995509,0.7253343844381721
points_avg_last_10,0.9665095151291047,1.0,0.9378653713491314,0.6797450248058174,-0.03400361420268551,-0.014730618000981403,,,0.020697328109870752,0.0019583870711929793,0.006279872729183402,-0.04331276594642783,0.0140283051554092,-0.01979463806758089,0.34305784866181627,-0.14560944734301232,-0.3573203566792156,0.023281956805263133,0.08223871244732739,0.7388300315547148
points_avg_season,0.9030680089710671,0.9378653713491314,1.0,0.6236177851549842,-0.034330933513790345,-0.011011858637723557,,,0.02694661590380964,-0.000580406339084978,0.0067275987644054465,-0.04231905031120717,0.009684779186983144,-0.025164052849547255,0.35533978621516626,-0.14487320668888148,-0.36842953663352307,0.004520657087980212,0.1040992960774947,0.726267782014764
points_std_last_10,0.6598075610777452,0.6797450248058174,0.6236177851549842,1.0,-0.008045849370129357,0.0005474908124570278,,,0.00825661927150052,-0.006122411078044761,0.0019557178738055033,-0.02600225312473021,0.014118815861043278,-0.11054960092443736,0.23273508967158518,0.002777650230374562,-0.2117233387593312,0.021100244034010732,0.03870875024321679,0.4918341663656443
fatigue_score,-0.03710255042317191,-0.03400361420268551,-0.034330933513790345,-0.008045849370129357,1.0,0.023821641908494767,,,0.015770825757037584,0.04139092516521728,0.007822846217461404,-0.1458992199292569,-0.1724635922918395,0.0048540667793121476,-0.037081622329838956,0.014210815491631114,0.042418606712644594,0.027068341821452156,0.017297019835502747,-0.031224916108593438
shot_zone_mismatch_score,-0.0133240795698908,-0.014730618000981403,-0.011011858637723557,0.0005474908124570278,0.023821641908494767,1.0,,,0.3786312759890526,0.02871976142984254,0.009894634212463449,-0.012504025653065168,0.005097388483201059,-0.09274560629064334,-0.01692947557081052,0.09667473799020394,0.04266122844906063,-0.022653337019635122,0.09059456219541066,0.010172304330263277
pace_score,,,,,,,,,,,,,,,,,,,,
usage_spike_score,,,,,,,,,,,,,,,,,,,,
opponent_def_rating_last_15,0.018933541524942966,0.020697328109870752,0.02694661590380964,0.00825661927150052,0.015770825757037584,0.3786312759890526,,,1.0,0.1652838147307421,0.02372194821078369,0.00670467515016147,-0.0029948549999969515,0.019219617855159844,-0.021866221042195003,0.0005429727129216481,0.01980510253475591,0.022681426292576114,0.25891766143496103,0.045893813104944996
opponent_pace_last_15,0.003239408978194568,0.0019583870711929793,-0.000580406339084978,-0.006122411078044761,0.04139092516521728,0.02871976142984254,,,0.1652838147307421,1.0,-0.0008317436778520129,-0.016008507411818817,0.008811827752449052,0.014093614063339154,-0.00817084370650995,-0.004076937171332262,-0.0036434075641451945,0.1654276483954508,0.07410717704147964,0.027755772864367395
is_home,0.0064022998421653645,0.006279872729183402,0.0067275987644054465,0.0019557178738055033,0.007822846217461404,0.009894634212463449,,,0.02372194821078369,-0.0008317436778520129,1.0,0.0046255552909816675,-0.05363972877796343,0.006171838630285865,-0.0011617011152229837,-0.006852398085875057,0.0026063403899010767,-0.011794489997783054,0.011635008459249323,0.010138946075555353
days_rest,-0.04444548081463407,-0.04331276594642783,-0.04231905031120717,-0.02600225312473021,-0.1458992199292569,-0.012504025653065168,,,0.00670467515016147,-0.016008507411818817,0.0046255552909816675,1.0,-0.07542490277792535,0.0006651667432309239,0.005471571690221339,-0.00373574451574112,-0.006275120249730255,-0.01069233211332605,-0.005332140203156231,-0.05644741723737386
back_to_back,0.01649567931072492,0.0140283051554092,0.009684779186983144,0.014118815861043278,-0.1724635922918395,0.005097388483201059,,,-0.0029948549999969515,0.008811827752449052,-0.05363972877796343,-0.07542490277792535,1.0,-0.0023664540655641414,-0.0003558611565139117,0.0037158709080446347,0.007254511980146414,0.0082329611811548,0.002283381304578128,0.02784828386821725
paint_rate_last_10,-0.019697476858242892,-0.01979463806758089,-0.025164052849547255,-0.11054960092443736,0.0048540667793121476,-0.09274560629064334,,,0.019219617855159844,0.014093614063339154,0.006171838630285865,0.0006651667432309239,-0.0023664540655641414,1.0,-0.27109656037853036,-0.8112419285883745,-0.13297253011625956,0.022030682985806925,0.026955949424305865,-0.021364500769683756
mid_range_rate_last_10,0.3304039419542883,0.34305784866181627,0.35533978621516626,0.23273508967158518,-0.037081622329838956,-0.01692947557081052,,,-0.021866221042195003,-0.00817084370650995,-0.0011617011152229837,0.005471571690221339,-0.0003558611565139117,-0.27109656037853036,1.0,-0.23436282975285203,-0.39435977532000027,-0.03367366386719033,-0.023240891793369328,0.2780835937861919
three_pt_rate_last_10,-0.13957116315823576,-0.14560944734301232,-0.14487320668888148,0.002777650230374562,0.014210815491631114,0.09667473799020394,,,0.0005429727129216481,-0.004076937171332262,-0.006852398085875057,-0.00373574451574112,0.0037158709080446347,-0.8112419285883745,-0.23436282975285203,1.0,0.32950133142190347,0.0014108354552828752,-0.0009045958682734512,-0.11334485869939823
assisted_rate_last_10,-0.3459609591574163,-0.3573203566792156,-0.36842953663352307,-0.2117233387593312,0.042418606712644594,0.04266122844906063,,,0.01980510253475591,-0.0036434075641451945,0.0026063403899010767,-0.006275120249730255,0.007254511980146414,-0.13297253011625956,-0.39435977532000027,0.32950133142190347,1.0,0.021658171995759305,0.03427932085435282,-0.28935908481511746
team_pace_last_10,0.024817438420664615,0.023281956805263133,0.004520657087980212,0.021100244034010732,0.027068341821452156,-0.022653337019635122,,,0.022681426292576114,0.1654276483954508,-0.011794489997783054,-0.01069233211332605,0.0082329611811548,0.022030682985806925,-0.03367366386719033,0.0014108354552828752,0.021658171995759305,1.0,-0.08433593916077475,0.02036101527839975
team_off_rating_last_10,0.07477925846995509,0.08223871244732739,0.1040992960774947,0.03870875024321679,0.017297019835502747,0.09059456219541066,,,0.25891766143496103,0.07410717704147964,0.011635008459249323,-0.005332140203156231,0.002283381304578128,0.026955949424305865,-0.023240891793369328,-0.0009045958682734512,0.03427932085435282,-0.08433593916077475,1.0,0.06093697211041535
actual_points,0.7253343844381721,0.7388300315547148,0.726267782014764,0.4918341663656443,-0.031224916108593438,0.010172304330263277,,,0.045893813104944996,0.027755772864367395,0.010138946075555353,-0.05644741723737386,0.02784828386821725,-0.021364500769683756,0.2780835937861919,-0.11334485869939823,-0.28935908481511746,0.02036101527839975,0.06093697211041535,1.0
