game_date,predictions,unique_pitchers,graded,avg_prediction,avg_actual,days_since_last
2024-04-09,1,1,1,6.36,5.0,
2024-04-11,1,1,0,4.0,4.0,2.0
2024-04-12,1,1,1,6.38,11.0,1.0
2024-04-13,5,5,2,4.912,6.0,1.0
2024-04-14,18,18,9,5.173333333333334,5.333333333333334,1.0
2024-04-15,15,15,9,5.444000000000001,4.2666666666666675,1.0
2024-04-16,22,22,8,5.254545454545455,5.363636363636364,1.0
2024-04-17,28,26,14,5.02,5.714285714285714,1.0
2024-04-18,4,4,2,4.8149999999999995,5.25,1.0
2024-04-19,20,20,10,4.878500000000001,5.1499999999999995,1.0
2024-04-20,30,29,13,5.109666666666667,4.933333333333333,1.0
2024-04-21,21,20,6,4.499047619047621,4.761904761904764,1.0
2024-04-22,19,19,5,5.066315789473684,5.473684210526316,1.0
2024-04-23,28,28,10,4.568928571428572,5.000000000000001,1.0
2024-04-24,17,17,6,4.848235294117647,5.882352941176471,1.0
2024-04-25,15,15,5,4.948,5.0,1.0
2024-04-26,25,25,16,4.952,5.08,1.0
2024-04-27,22,22,9,4.975454545454546,5.954545454545453,1.0
2024-04-28,22,22,8,5.333636363636362,5.636363636363637,1.0
2024-04-29,19,19,10,4.723684210526315,4.421052631578947,1.0
2024-04-30,29,27,11,4.916896551724138,5.034482758620689,1.0
2024-05-01,25,25,11,4.8316,5.3199999999999985,1.0
2024-05-02,9,9,5,4.7988888888888885,5.888888888888889,1.0
2024-05-03,26,26,8,4.818846153846153,4.961538461538463,1.0
2024-05-04,23,23,11,5.345217391304347,5.565217391304348,1.0
2024-05-05,23,23,16,4.9286956521739125,5.130434782608695,1.0
2024-05-06,16,16,7,4.94125,5.75,1.0
2024-05-07,24,24,12,4.783333333333332,4.541666666666667,1.0
2024-05-08,25,25,11,4.755999999999999,5.12,1.0
2024-05-09,14,14,7,5.385714285714286,4.714285714285714,1.0
2024-05-10,27,27,13,4.850370370370369,5.296296296296296,1.0
2024-05-11,21,21,6,4.906666666666668,5.6190476190476195,1.0
2024-05-12,24,24,11,4.81625,5.083333333333334,1.0
2024-05-13,25,25,14,4.6092,4.4399999999999995,1.0
2024-05-14,31,29,13,5.134516129032258,5.193548387096774,1.0
2024-05-15,23,23,10,4.781739130434782,5.130434782608697,1.0
2024-05-16,10,10,5,5.164,5.4,1.0
2024-05-17,24,24,7,4.797499999999999,4.291666666666666,1.0
2024-05-18,23,23,12,4.945652173913043,5.478260869565218,1.0
2024-05-19,28,28,14,4.954642857142857,4.928571428571428,1.0
2024-05-20,21,19,8,5.351904761904762,4.904761904761903,1.0
2024-05-21,27,25,11,4.811851851851852,5.074074074074075,1.0
2024-05-22,27,27,10,5.284814814814815,4.888888888888888,1.0
2024-05-23,12,12,4,5.0391666666666675,5.833333333333334,1.0
2024-05-24,24,24,11,4.554166666666666,4.25,1.0
2024-05-25,29,29,14,4.50103448275862,4.689655172413794,1.0
2024-05-26,26,26,17,5.1099999999999985,6.0,1.0
2024-05-27,18,18,11,4.8500000000000005,5.722222222222222,1.0
2024-05-28,28,26,11,5.0564285714285715,6.2857142857142865,1.0
2024-05-29,27,26,7,5.125925925925927,5.370370370370369,1.0
2024-05-30,11,11,7,5.377272727272727,5.818181818181818,1.0
2024-05-31,29,29,9,4.443103448275863,4.724137931034483,1.0
2024-06-01,27,27,18,5.251111111111111,5.333333333333334,1.0
2024-06-02,29,29,12,5.025517241379309,4.896551724137932,1.0
2024-06-03,14,14,7,5.190714285714286,4.285714285714286,1.0
2024-06-04,23,23,8,5.330869565217392,5.565217391304347,1.0
2024-06-05,22,22,6,4.607272727272727,4.909090909090909,1.0
2024-06-06,18,18,5,4.723888888888888,4.944444444444445,1.0
2024-06-07,24,24,14,5.162916666666666,5.666666666666666,1.0
2024-06-08,27,27,16,4.998518518518519,4.814814814814815,1.0
2024-06-09,22,22,11,4.953636363636364,5.045454545454545,1.0
2024-06-10,14,14,6,5.1171428571428565,4.928571428571428,1.0
2024-06-11,25,25,9,4.596000000000001,4.359999999999999,1.0
2024-06-12,25,25,11,4.9395999999999995,4.959999999999999,1.0
2024-06-13,20,20,10,4.978500000000001,5.2,1.0
2024-06-14,25,25,14,5.224800000000001,5.28,1.0
2024-06-15,38,21,26,4.935263157894736,5.052631578947367,1.0
2024-06-16,40,25,22,4.926,5.325,1.0
2024-06-17,27,15,18,5.037037037037037,5.37037037037037,1.0
2024-06-18,48,29,32,4.624999999999999,4.395833333333333,1.0
2024-06-19,43,26,26,5.460697674418605,5.744186046511628,1.0
2024-06-20,26,16,12,4.146153846153845,4.346153846153846,1.0
2024-06-21,41,24,26,5.089756097560976,5.024390243902439,1.0
2024-06-22,25,25,8,4.792800000000001,5.36,1.0
2024-06-23,23,23,9,4.909130434782608,5.391304347826087,1.0
2024-06-24,22,22,12,4.8572727272727265,5.90909090909091,1.0
2024-06-25,22,22,7,5.087272727272729,4.409090909090908,1.0
2024-06-26,26,24,10,5.042307692307693,4.884615384615385,1.0
2024-06-27,15,14,10,5.116,5.6,1.0
2024-06-28,26,26,9,4.341153846153846,5.269230769230769,1.0
2024-06-29,28,28,10,5.308571428571428,5.32142857142857,1.0
2024-06-30,26,26,7,4.914615384615385,5.3076923076923075,1.0
2024-07-01,5,5,2,4.322,4.8,1.0
2024-07-02,25,25,15,4.815199999999999,5.16,1.0
2024-07-03,25,25,10,4.700400000000001,4.96,1.0
2024-07-04,26,26,9,4.88423076923077,4.807692307692308,1.0
2024-07-05,26,26,12,5.201923076923078,5.692307692307693,1.0
2024-07-06,25,25,14,5.0288,5.559999999999999,1.0
2024-07-07,24,24,14,5.159166666666667,5.791666666666667,1.0
2024-07-08,11,11,5,4.086363636363637,4.181818181818182,1.0
2024-07-09,21,21,11,5.038571428571428,5.7142857142857135,1.0
2024-07-10,36,32,12,4.828333333333334,5.222222222222221,1.0
2024-07-11,19,19,7,5.20421052631579,5.315789473684211,1.0
2024-07-12,27,27,11,4.891851851851853,4.629629629629629,1.0
2024-07-13,26,25,9,5.206538461538461,5.038461538461539,1.0
2024-07-14,22,22,12,4.7704545454545455,4.863636363636364,1.0
2024-07-19,26,26,11,4.992692307692308,4.807692307692307,5.0
2024-07-20,29,27,13,5.158275862068966,5.586206896551724,1.0
2024-07-21,27,27,12,4.746296296296296,5.111111111111111,1.0
2024-07-22,24,24,8,4.93125,5.083333333333333,1.0
2024-07-23,22,22,9,4.617272727272727,5.045454545454547,1.0
2024-07-24,24,24,13,4.793333333333333,4.625,1.0
2024-07-25,13,13,8,5.026923076923078,6.0,1.0
2024-07-26,25,25,11,5.161600000000001,5.079999999999999,1.0
2024-07-27,28,28,13,5.053571428571429,5.428571428571429,1.0
2024-07-28,20,20,10,4.8895,5.500000000000001,1.0
2024-07-29,21,19,8,4.718571428571429,3.9047619047619047,1.0
2024-07-30,24,24,9,4.819166666666666,5.750000000000001,1.0
2024-07-31,24,24,12,5.129583333333334,5.041666666666666,1.0
2024-08-01,20,10,10,4.5985000000000005,5.3,1.0
2024-08-02,50,26,29,5.1326,5.4399999999999995,1.0
2024-08-03,48,26,23,4.658125000000001,5.104166666666667,1.0
2024-08-04,49,25,25,5.064693877551021,5.591836734693877,1.0
2024-08-05,37,17,20,4.525945945945946,5.189189189189191,1.0
2024-08-06,37,20,27,4.943513513513514,5.999999999999999,1.0
